10,4a,12,448,0.000366
10,4b,10,345,0.000162
10,4c,13,448,0.000129
10,4d,11,602,0.000147
10,4e,11,448,0.000124
10,4f,13,602,0.000132
10,4g,13,602,0.00014
10,4h,11,232,0.000137
10,4i,10,895,0.000136
10,4j,10,232,0.000125
10,6a,6,3125,0.000142
10,6b,6,4812,0.000157
10,6c,6,3125,0.000154
10,6d,6,3125,0.000147
10,6e,6,4812,0.000155
10,6f,6,3704,0.000156
10,6g,6,1789,0.000151
10,6h,6,4812,0.000151
10,6i,6,6251,0.000155
10,6j,6,3704,0.000145
10,8a,4,19246,0.000166
10,8b,4,19246,0.000195
10,8c,4,25001,0.00017
10,8d,4,25001,0.000171
10,8e,4,25001,0.000172
10,8f,4,25001,0.000179
10,8g,4,25001,0.000175
10,8h,4,25001,0.000163
10,8i,3,19246,0.000179
10,8j,4,19246,0.000162
14,10a,6,5071710,0.00023
14,10b,6,5071710,0.000233
14,10c,6,5071710,0.000227
14,10d,6,5071710,0.00024
14,10e,6,5071710,0.000239
14,10f,6,13176689,0.000273
14,10g,6,3294173,0.000246
14,10h,6,5071710,0.000271
14,10i,6,6588345,0.000255
14,10j,6,6588345,0.000254
14,4a,16,15251,0.000174
14,4b,16,7626,0.000168
14,4c,14,11178,0.000181
14,4d,15,11178,0.000175
14,4e,16,4366,0.00016
14,4f,16,15251,0.000187
14,4g,15,5871,0.000187
14,4h,17,7626,0.000177
14,4i,15,12868,0.000183
14,4j,16,29464,0.000184
14,6a,12,69841,0.000176
14,6b,12,58928,0.000172
14,6c,12,102943,0.000194
14,6d,10,102943,0.000183
14,6e,11,181451,0.000301
14,6f,11,187842,0.000256
14,6g,12,187842,0.00021
14,6h,10,316982,0.000209
14,6i,12,122007,0.000198
14,6j,12,316982,0.000192
14,8a,10,2535855,0.000233
14,8b,10,976051,0.000225
14,8c,10,633964,0.000216
14,8d,10,823544,0.000214
14,8e,9,471424,0.000203
14,8f,10,1647087,0.000234
14,8g,10,1952102,0.000235
14,8h,10,1952102,0.000232
14,8i,10,976051,0.000225
14,8j,9,1647087,0.000234
18,10a,14,596472863,0.000309
18,10b,14,131420699,0.000266
18,10c,16,774840978,0.000303
18,10d,16,298236432,0.000302
18,10e,14,170720496,0.000278
18,10f,15,298236432,0.000278
18,10g,16,298236432,0.000293
18,10h,15,229582513,0.000282
18,10i,14,193710245,0.000267
18,10j,15,170720496,0.00028
18,4a,21,247950,0.00024
18,4b,24,244380,0.000233
18,4c,27,97375,0.000224
18,4d,26,1955035,0.00027
18,4e,24,433150,0.000245
18,4f,27,69946,0.000218
18,4g,24,121216,0.000234
18,4h,26,291247,0.000229
18,4i,30,409104,0.000231
18,4j,24,582494,0.000232
18,6a,21,1580746,0.000234
18,6b,24,28697815,0.000278
18,6c,23,7174454,0.000263
18,6d,27,10670031,0.000263
18,6e,22,5522897,0.000246
18,6f,26,2125765,0.000254
18,6g,22,14348908,0.000277
18,6h,20,1793614,0.00024
18,6i,22,12645963,0.000258
18,6j,25,3465195,0.000248
18,8a,17,21340062,0.000253
18,8b,18,57395628,0.000262
18,8c,18,57395628,0.000275
18,8d,18,14348908,0.000247
18,8e,20,48427562,0.000275
18,8f,18,21340062,0.000281
18,8g,19,85360248,0.000278
