10,4a,12,1984,0.161503
10,4b,10,716,0.127636
10,4c,13,964,0.160612
10,4d,11,784,0.093113
10,4e,11,1773,0.148352
10,4f,13,4190,0.338987
10,4g,13,1954,0.186019
10,4h,11,224,0.034197
10,4i,10,560,0.051722
10,4j,10,700,0.155055
10,6a,6,25200,0.876679
10,6b,6,97920,4.359708
10,6c,6,38160,2.561308
10,6d,6,30240,1.506368
10,6e,6,75600,3.910218
10,6f,6,37800,3.026568
10,6g,6,16560,1.25823
10,6h,6,95760,3.634567
10,6i,6,29520,1.124929
10,6j,6,73440,2.948747
10,8a,4,332640,12.388031
10,8b,4,241920,4.877587
10,8c,4,544320,11.526076
10,8d,4,453600,22.250344
10,8e,4,453600,9.086165
10,8f,4,403200,17.84607
10,8g,4,483840,15.542976
10,8h,4,453600,9.129124
10,8i,3,302400,13.310086
10,8j,4,332640,12.28907
14,10a,6,,
14,10b,6,,
14,10c,6,,
14,10d,6,,
